Unnamed: 0,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College,csv_file
11,5,Kendrick Perkins,C,6-10,270,"November 10, 1984",us,10,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
12,21,Andre Roberson,SG,6-7,210,"December 4, 1991",us,R,University of Colorado,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
13,25,Thabo Sefolosha,SG,6-7,220,"May 2, 1984",ch,7,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
14,22,Mustafa Shakur,PG,6-3,190,"August 18, 1984",us,1,University of Arizona,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
15,34,Hasheem Thabeet,C,7-3,263,"February 16, 1987",tz,4,University of Connecticut,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
16,0,Russell Westbrook,PG,6-3,200,"November 12, 1988",us,5,"University of California, Los Angeles",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
17,14,Reggie Williams,SF,6-6,205,"September 14, 1986",us,4,Virginia Military Institute,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
0,34,Ray Allen,SG,6-5,205,"July 20, 1975",us,17,University of Connecticut,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
1,11,Chris Andersen,C,6-10,245,"July 7, 1978",us,11,Blinn College,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
2,50,Joel Anthony,C,6-9,245,"August 9, 1982",ca,6,"University of Nevada, Las Vegas",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
3,31,Shane Battier,SF,6-8,220,"September 9, 1978",us,12,Duke University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
4,8,Michael Beasley,SF,6-9,235,"January 9, 1989",us,5,Kansas State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
5,1,Chris Bosh,C,6-11,235,"March 24, 1984",us,10,Georgia Institute of Technology,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
6,15,Mario Chalmers,PG,6-2,190,"May 19, 1986",us,5,University of Kansas,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
7,30,Norris Cole,PG,6-2,175,"October 13, 1988",us,2,Cleveland State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
8,0,Toney Douglas,PG,6-2,195,"March 16, 1986",us,4,"Auburn University, Florida State University",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
9,7,Justin Hamilton,C,7-0,260,"April 1, 1990",us,R,"Iowa State University, Louisiana State University",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
10,40,Udonis Haslem,PF,6-8,235,"June 9, 1980",us,10,University of Florida,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
11,6,LeBron James,PF,6-8,250,"December 30, 1984",us,10,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
12,22,James Jones,SF,6-8,218,"October 4, 1980",us,10,University of Miami,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
13,9,Rashard Lewis,SF,6-10,215,"August 8, 1979",us,15,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
14,14,DeAndre Liggins,SG,6-6,209,"March 31, 1988",us,2,University of Kentucky,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
15,21,Roger Mason,SG,6-5,200,"September 10, 1980",us,9,University of Virginia,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
16,20,Greg Oden,C,7-0,250,"January 22, 1988",us,2,Ohio State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
17,3,Dwyane Wade,SG,6-4,220,"January 17, 1982",us,10,Marquette University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
0,5,Lavoy Allen,PF,6-9,260,"February 4, 1989",us,2,Temple University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
1,8,Rasual Butler,SG,6-7,215,"May 23, 1979",us,10,La Salle University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
2,17,Andrew Bynum,C,7-0,285,"October 27, 1987",us,7,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
3,22,Chris Copeland,SF,6-9,239,"March 17, 1984",us,1,University of Colorado,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
4,24,Paul George,SF,6-9,220,"May 2, 1990",us,3,"California State University, Fresno",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
5,33,Danny Granger,SF,6-9,222,"April 20, 1983",us,8,"Bradley University, University of New Mexico",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
6,55,Roy Hibbert,C,7-2,270,"December 11, 1986",us,5,Georgetown University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
7,3,George Hill,PG,6-3,188,"May 4, 1986",us,5,Indiana University-Purdue University Indianapolis,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
8,9,Solomon Hill,SF,6-7,225,"March 18, 1991",us,R,University of Arizona,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
9,11,Orlando Johnson,SG,6-5,220,"March 11, 1989",us,1,"Loyola Marymount University, University of California, Santa Barbara",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
10,28,Ian Mahinmi,C,6-11,262,"November 5, 1986",fr,5,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
11,4,Luis Scola,PF,6-9,240,"April 30, 1980",ar,6,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
12,15,Donald Sloan,SG,6-3,205,"January 15, 1988",us,2,Texas A&M University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
13,1,Lance Stephenson,SG,6-6,230,"September 5, 1990",us,3,University of Cincinnati,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
14,12,Evan Turner,SF,6-7,220,"October 27, 1988",us,3,Ohio State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
15,32,C.J. Watson,PG,6-2,175,"April 17, 1984",us,6,University of Tennessee,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
16,21,David West,PF,6-9,250,"August 29, 1980",us,10,Xavier University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
0,22,Matt Barnes,SF,6-7,226,"March 9, 1980",us,10,"University of California, Los Angeles",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
1,25,Reggie Bullock,SF,6-7,205,"March 16, 1991",us,R,University of North Carolina,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
2,2,Darren Collison,PG,6-0,175,"August 23, 1987",us,4,"University of California, Los Angeles",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
3,11,Jamal Crawford,SG,6-5,185,"March 20, 1980",us,13,University of Michigan,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
4,0,Glen Davis,PF,6-9,289,"January 1, 1986",us,6,Louisiana State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
5,9,Jared Dudley,SF,6-7,237,"July 10, 1985",us,6,Boston College,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
6,33,Danny Granger,SF,6-9,222,"April 20, 1983",us,8,"Bradley University, University of New Mexico",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
7,34,Willie Green,SG,6-4,200,"July 28, 1981",us,10,University of Detroit Mercy,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
8,32,Blake Griffin,PF,6-10,250,"March 16, 1989",us,3,University of Oklahoma,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
9,15,Ryan Hollins,PF,7-0,240,"October 10, 1984",us,7,"University of California, Los Angeles",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
10,1,Stephen Jackson,SF,6-8,218,"April 5, 1978",us,13,Butler County Community College,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
11,33,Antawn Jamison,PF,6-8,223,"June 12, 1976",us,15,University of North Carolina,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
12,6,DeAndre Jordan,C,6-11,265,"July 21, 1988",us,5,Texas A&M University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
13,7,Darius Morris,PG,6-4,190,"January 3, 1991",us,2,University of Michigan,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
14,0,Byron Mullens,C,7-0,275,"February 14, 1989",us,4,Ohio State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
15,3,Chris Paul,PG,6-0,175,"May 6, 1985",us,8,Wake Forest University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
16,4,J.J. Redick,SG,6-4,200,"June 24, 1984",us,7,Duke University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
17,8,Hedo Türkoğlu,SF,6-10,220,"March 19, 1979",tr,13,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
18,18,Sasha Vujačić,SG,6-7,195,"March 8, 1984",si,7,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
19,5,Maalik Wayns,PG,6-2,200,"May 2, 1991",us,1,Villanova University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
0,12,LaMarcus Aldridge,PF,6-11,260,"July 19, 1985",us,7,University of Texas at Austin,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
1,5,Will Barton,SG,6-6,190,"January 6, 1991",us,1,University of Memphis,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
2,88,Nicolas Batum,SF,6-8,200,"December 14, 1988",fr,5,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
3,18,Victor Claver,SF,6-9,224,"August 30, 1988",es,1,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
4,23,Allen Crabbe,SG,6-6,212,"April 9, 1992",us,R,University of California,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
5,19,Joel Freeland,C,6-10,250,"February 7, 1987",gb,1,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
6,11,Meyers Leonard,C,7-1,255,"February 27, 1992",us,1,University of Illinois at Urbana-Champaign,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
7,0,Damian Lillard,PG,6-3,195,"July 15, 1990",us,1,Weber State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
8,42,Robin Lopez,C,7-0,275,"April 1, 1988",us,5,Stanford University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
9,2,Wesley Matthews,SG,6-5,220,"October 14, 1986",us,4,Marquette University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
10,3,CJ McCollum,SG,6-3,190,"September 19, 1991",us,R,Lehigh University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
11,41,Thomas Robinson,PF,6-10,237,"March 17, 1991",us,1,University of Kansas,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
12,17,Earl Watson,PG,6-1,195,"June 12, 1979",us,12,"University of California, Los Angeles",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
13,25,Mo Williams,PG,6-1,198,"December 19, 1982",us,10,University of Alabama,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
14,1,Dorell Wright,SF,6-9,205,"December 2, 1985",us,9,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
0,6,Alan Anderson,SF,6-6,220,"October 16, 1982",us,4,Michigan State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
1,0,Andray Blatche,PF,6-11,235,"August 22, 1986",us,8,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
2,98,Jason Collins,C,7-0,255,"December 2, 1978",us,12,Stanford University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
3,30,Reggie Evans,PF,6-8,245,"May 18, 1980",us,11,University of Iowa,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
4,2,Kevin Garnett,C,6-11,240,"May 19, 1976",us,18,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
5,13,Jorge Gutiérrez,PG,6-3,191,"December 27, 1988",mx,R,University of California,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
6,7,Joe Johnson,SG,6-7,240,"June 29, 1981",us,12,University of Arkansas,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
7,47,Andrei Kirilenko,PF,6-9,220,"February 18, 1981",ru,11,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
8,14,Shaun Livingston,PG,6-7,192,"September 11, 1985",us,8,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
9,11,Brook Lopez,C,7-0,270,"April 1, 1988",us,5,Stanford University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
10,34,Paul Pierce,SF,6-7,235,"October 13, 1977",us,15,University of Kansas,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
11,1,Mason Plumlee,C,6-11,235,"March 5, 1990",us,R,Duke University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
12,20,Tornike Shengelia,SF,6-9,217,"October 5, 1991",ge,1,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
13,10,Tyshawn Taylor,PG,6-3,185,"April 12, 1990",us,1,University of Kansas,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
14,12,Marquis Teague,SG,6-2,189,"February 28, 1993",us,1,University of Kentucky,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
15,33,Mirza Teletović,SF,6-9,242,"September 18, 1985",ba,1,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
16,31,Jason Terry,PG,6-2,185,"September 15, 1977",us,14,University of Arizona,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
17,10,Marcus Thornton,SG,6-4,205,"June 5, 1987",us,4,Louisiana State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
18,8,Deron Williams,PG,6-3,200,"June 26, 1984",us,8,University of Illinois at Urbana-Champaign,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
0,1,Trevor Ariza,SF,6-8,215,"June 30, 1985",us,9,"University of California, Los Angeles",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
1,3,Bradley Beal,SG,6-5,207,"June 28, 1993",us,1,University of Florida,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
2,35,Trevor Booker,PF,6-8,228,"November 25, 1987",us,3,Clemson University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
3,90,Drew Gooden,C,6-10,250,"September 24, 1981",us,11,University of Kansas,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
4,4,Marcin Gortat,C,6-11,240,"February 17, 1984",pl,6,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
5,7,Al Harrington,PF,6-9,230,"February 17, 1980",us,15,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
6,42,Nen� Hil�rio,PF,6-11,250,"September 13, 1982",br,11,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
7,6,Eric Maynor,PG,6-3,175,"June 11, 1987",us,4,Virginia Commonwealth University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
8,24,Andre Miller,SG,6-3,200,"March 19, 1976",us,14,University of Utah,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
9,22,Otto Porter,SF,6-8,198,"June 3, 1993",us,R,Georgetown University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
10,14,Glen Rice,SG,6-6,206,"January 1, 1991",us,R,Georgia Institute of Technology,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
11,13,Kevin S�raphin,C,6-9,285,"December 7, 1989",gf,3,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
12,31,Chris Singleton,SF,6-8,230,"November 21, 1989",us,2,Florida State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
13,17,Garrett Temple,SG,6-6,195,"May 8, 1986",us,3,Louisiana State University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
14,24,Jan Vesel�,PF,6-11,240,"April 24, 1990",cz,2,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
15,2,John Wall,PG,6-4,210,"September 6, 1990",us,3,University of Kentucky,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
16,9,Martell Webster,SF,6-7,230,"December 4, 1986",us,8,,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
0,57,Hilton Armstrong,C,6-11,235,"November 11, 1984",us,5,University of Connecticut,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
1,40,Harrison Barnes,SF,6-8,225,"May 30, 1992",us,1,University of North Carolina,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
2,20,Kent Bazemore,SG,6-5,201,"July 1, 1989",us,1,Old Dominion University,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
3,25,Steve Blake,PG,6-3,172,"February 26, 1980",us,10,University of Maryland,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
4,12,Andrew Bogut,C,7-0,260,"November 28, 1984",au,8,University of Utah,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
5,2,MarShon Brooks,SG,6-5,200,"January 26, 1989",us,2,Providence College,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
6,55,Jordan Crawford,SG,6-4,195,"October 23, 1988",us,3,"Indiana University, Xavier University",C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
7,30,Stephen Curry,PG,6-3,190,"March 14, 1988",us,4,Davidson College,C:\Users\Nigel\Documents\AIM MSDS\Data Mining And Wrangling\DMW Projects\DMW Lab 5\scraped_data\bio/Bio_Summary-2014.csv
